,TCGA-OL-A5D6-01A-21R-A27Q-07,TCGA-AN-A0FT-01A-11R-A034-07,TCGA-B6-A0RH-01A-21R-A115-07
ENSG00000054654.19,4623,1761,6466
ENSG00000054690.14,872,440,1080
ENSG00000054793.14,2726,4726,8619
ENSG00000054796.13,0,2,0
ENSG00000054803.4,231,59,144
ENSG00000054938.16,29,26,485
ENSG00000054965.11,5349,2689,4383
ENSG00000054967.13,268,165,264
ENSG00000054983.17,2905,515,2484
ENSG00000055044.11,1946,2743,6387
ENSG00000055070.17,4612,5510,9408
ENSG00000055118.16,19,13,57
ENSG00000055130.17,3411,2646,5772
ENSG00000055147.19,825,739,1347
ENSG00000055163.20,389,130,2712
ENSG00000055208.19,2388,4079,5589
ENSG00000055211.14,1430,3275,3367
ENSG00000055332.18,1894,2620,14233
ENSG00000055483.19,2137,2057,1778
ENSG00000055609.19,4037,3123,4176
ENSG00000055732.13,66,26,36
ENSG00000055813.6,39,12,18
ENSG00000055917.16,4758,7684,8307
ENSG00000055950.16,1832,4172,3393
ENSG00000055955.17,37,4,2
ENSG00000055957.11,3,1,3
ENSG00000056050.7,760,778,1022
ENSG00000056097.16,2867,3270,4883
ENSG00000056277.16,226,272,339
ENSG00000056291.17,0,1,6
ENSG00000056487.16,2,123,14
ENSG00000056558.11,494,257,419
ENSG00000056586.16,1811,1468,2242
ENSG00000056736.10,123,720,397
ENSG00000056972.20,2809,1883,4260
ENSG00000056998.20,1229,1129,826
ENSG00000057019.16,1020,633,1767
ENSG00000057149.16,1,0,0
ENSG00000057252.13,1116,1694,2401
ENSG00000057294.15,1806,852,1425
ENSG00000057468.7,23,0,7
ENSG00000057593.14,58,2718,272
ENSG00000057608.17,14539,9311,23367
ENSG00000057657.17,863,1057,1058
ENSG00000057663.16,1781,1851,2206
ENSG00000057704.13,1656,631,227
ENSG00000057757.10,2392,2266,5359
ENSG00000057935.14,1864,3643,4296
ENSG00000058056.9,568,746,2238
ENSG00000058063.16,2193,666,4170
ENSG00000058085.15,1939,39,4478
ENSG00000058091.17,952,532,2803
ENSG00000058262.10,26107,12583,27060
ENSG00000058272.19,2241,2937,1892
ENSG00000058335.16,1560,201,192
ENSG00000058404.20,75,3323,145
ENSG00000058453.17,1527,1156,1864
ENSG00000058600.16,1662,2401,2068
ENSG00000058668.15,2636,6420,14839
ENSG00000058673.17,9,10,1
ENSG00000058729.11,1189,1113,2037
ENSG00000058799.15,2606,2615,5453
ENSG00000058804.12,1208,1078,2274
ENSG00000058866.15,35,24,31
ENSG00000059122.17,1813,1363,1497
ENSG00000059145.19,341,196,564
ENSG00000059377.18,820,646,345
ENSG00000059378.13,1479,1845,7818
ENSG00000059573.9,7680,8157,13608
ENSG00000059588.10,1238,2212,3029
ENSG00000059691.12,757,1644,837
ENSG00000059728.11,540,786,1030
ENSG00000059758.8,861,1917,1461
ENSG00000059769.20,434,503,635
ENSG00000059804.16,1018,2445,1219
ENSG00000059915.17,187,96,51
ENSG00000060069.17,1501,1632,1601
ENSG00000060138.13,5509,4820,14120
ENSG00000060140.9,1112,13,257
ENSG00000060237.18,7495,11392,10068
ENSG00000060303.5,1,0,1
ENSG00000060339.14,2867,5756,5673
ENSG00000060491.16,2128,2395,7340
ENSG00000060558.4,196,549,331
ENSG00000060566.14,0,2,3
ENSG00000060642.11,1231,1110,1207
ENSG00000060656.20,987,9280,2791
ENSG00000060688.13,1528,1267,3296
ENSG00000060709.15,6,3,91
ENSG00000060718.22,23085,11331,16738
ENSG00000060749.16,1064,971,2270
ENSG00000060762.19,1077,1392,1690
ENSG00000060971.19,8277,2171,4137
ENSG00000060982.15,808,891,895
ENSG00000061273.18,3303,5937,2746
ENSG00000061337.15,1463,1269,623
ENSG00000061455.11,189,936,531
ENSG00000061492.12,1,0,0
ENSG00000061656.10,108,369,860
ENSG00000061676.15,7836,14305,13634
ENSG00000061794.13,4757,4977,3953
ENSG00000061918.14,717,1209,1221
ENSG00000061936.10,1364,3453,3111
ENSG00000061938.20,2826,5912,9136
ENSG00000061987.16,2070,2047,1714
ENSG00000062038.14,3016,161,6185
ENSG00000062096.15,215,0,5
ENSG00000062194.16,4115,2865,8888
ENSG00000062282.15,804,1520,954
ENSG00000062370.17,143,99,379
ENSG00000062485.19,6552,5943,10669
ENSG00000062524.16,14,8,8
ENSG00000062582.14,8,4,5
ENSG00000062598.18,1375,2334,4302
ENSG00000062650.19,2890,3116,3971
ENSG00000062716.13,8494,12920,9527
ENSG00000062725.10,1552,1319,2595
ENSG00000062822.15,941,576,840
ENSG00000063015.20,2,12,1
ENSG00000063046.18,12768,13216,19651
ENSG00000063127.16,67,53,384
ENSG00000063169.11,1157,1194,1542
ENSG00000063176.16,655,174,582
ENSG00000063177.13,31849,48089,66127
ENSG00000063180.9,84,180,58
ENSG00000063241.8,3358,3119,3556
ENSG00000063244.13,8208,7899,11299
ENSG00000063245.15,9463,4086,8342
ENSG00000063322.15,3793,7088,7653
ENSG00000063438.19,1,4,8
ENSG00000063515.3,0,0,0
ENSG00000063587.15,993,406,1513
ENSG00000063601.17,1374,1519,2183
ENSG00000063660.9,6679,3316,4299
ENSG00000063761.16,616,436,624
ENSG00000063854.13,1050,3617,1912
ENSG00000063978.16,4752,2212,3709
ENSG00000064012.22,1728,1635,3520
ENSG00000064042.18,13184,3496,5350
ENSG00000064102.15,921,1617,1854
ENSG00000064115.11,2231,1260,2744
ENSG00000064195.7,51,47,327
ENSG00000064199.7,225,336,669
ENSG00000064201.16,42,11,28
ENSG00000064205.10,1542,3691,1713
ENSG00000064218.5,53,69,71
ENSG00000064225.12,453,263,199
ENSG00000064270.13,558,587,350
ENSG00000064300.9,678,401,148
ENSG00000064309.14,144,102,341
ENSG00000064313.12,1064,1840,2020
ENSG00000064393.16,8533,2758,5778
ENSG00000064419.13,2538,2345,4606
ENSG00000064489.23,0,4,1
ENSG00000064490.14,1704,2216,2710
ENSG00000064545.15,2082,1001,2085
ENSG00000064547.14,2098,698,1160
ENSG00000064601.20,3713,7010,7460
ENSG00000064607.17,4553,3001,4468
ENSG00000064651.14,1708,1676,1272
ENSG00000064652.11,297,648,1493
ENSG00000064655.19,215,631,3584
ENSG00000064666.15,7572,10796,14633
ENSG00000064687.13,1144,1412,1229
ENSG00000064692.20,156,122,212
ENSG00000064703.12,776,1126,1805
ENSG00000064726.10,2773,1490,2819
ENSG00000064763.11,4501,256,470
ENSG00000064787.13,464,1576,394
ENSG00000064835.11,3,7,4
ENSG00000064886.14,541,32,1580
ENSG00000064932.16,7130,3068,6066
ENSG00000064933.18,518,679,1305
ENSG00000064961.19,5017,5849,8043
ENSG00000064989.13,1660,3901,1152
ENSG00000064995.18,667,1580,2272
ENSG00000064999.15,1365,1488,1674
ENSG00000065000.19,11456,6240,9415
ENSG00000065029.15,963,3508,2148
ENSG00000065054.14,7638,23253,6245
ENSG00000065057.9,632,2217,799
ENSG00000065060.17,569,865,2295
ENSG00000065135.12,4057,3941,8044
ENSG00000065150.21,4301,7096,8071
ENSG00000065154.12,4934,9437,11531
ENSG00000065183.16,1523,1603,2792
ENSG00000065243.20,1382,1998,1796
ENSG00000065268.11,2296,1532,2530
ENSG00000065308.5,2357,2155,2789
ENSG00000065320.9,361,177,1705
ENSG00000065325.13,14,3,4
ENSG00000065328.17,171,292,502
ENSG00000065357.20,902,2444,1743
ENSG00000065361.16,9728,38481,17602
ENSG00000065371.17,3,0,13
ENSG00000065413.20,286,224,384
ENSG00000065427.15,4178,10323,8791
ENSG00000065457.10,711,1952,825
ENSG00000065485.20,4265,1082,2460
ENSG00000065491.8,533,1158,982
ENSG00000065518.8,5416,5745,15426
ENSG00000065526.12,3882,2781,4805
ENSG00000065534.19,5297,2424,6595
ENSG00000065548.18,3090,4138,6265
ENSG00000065559.15,856,1951,1569
ENSG00000065600.13,469,972,2181
ENSG00000065609.14,9,0,8
ENSG00000065613.15,3576,3569,3629
ENSG00000065615.14,655,783,547
ENSG00000065618.21,1894,60,1323
ENSG00000065621.15,938,997,2568
ENSG00000065665.21,594,374,546
ENSG00000065675.15,62,34,68
ENSG00000065717.15,790,2500,514
ENSG00000065802.12,600,674,467
ENSG00000065809.13,4473,3806,3790
ENSG00000065833.9,719,128,2130
ENSG00000065882.16,3401,2298,2251
ENSG00000065883.16,2464,4124,3260
ENSG00000065911.13,3261,3390,2926
ENSG00000065923.10,1384,2034,1791
ENSG00000065970.9,1369,1375,2517
ENSG00000065978.19,18190,13536,31518
ENSG00000065989.16,814,1805,1618
ENSG00000066027.12,2423,6237,5936
ENSG00000066032.18,2168,5,27
ENSG00000066044.15,3978,6094,8205
ENSG00000066056.14,2321,3179,1069
ENSG00000066084.13,2257,2410,3553
ENSG00000066117.15,2451,3243,6204
ENSG00000066135.13,1280,1009,1940
ENSG00000066136.20,2535,1707,4506
ENSG00000066185.13,135,118,555
ENSG00000066230.12,43,37,8
ENSG00000066248.15,963,180,184
ENSG00000066279.18,248,466,1353
ENSG00000066294.15,856,566,405
ENSG00000066322.15,8134,4357,7259
ENSG00000066336.12,1060,1592,1206
ENSG00000066379.15,246,569,704
ENSG00000066382.16,111,89,131
ENSG00000066405.13,7,6,9
ENSG00000066422.5,957,1161,1060
ENSG00000066427.24,701,929,1491
ENSG00000066455.13,4196,3461,5669
ENSG00000066468.23,183,23,2665
ENSG00000066557.6,541,616,872
ENSG00000066583.12,2470,5069,2550
ENSG00000066629.18,583,371,1076
ENSG00000066651.20,344,716,502
ENSG00000066654.14,2465,2115,3687
ENSG00000066697.15,860,350,1764
ENSG00000066735.14,447,392,102
ENSG00000066739.12,1479,1340,1765
ENSG00000066777.9,2823,4974,3689
ENSG00000066813.14,0,2,0
ENSG00000066827.16,448,414,1107
ENSG00000066855.16,2648,2849,1750
ENSG00000066923.17,61,47,47
ENSG00000066926.12,1238,1373,1405
ENSG00000066933.16,1129,659,1365
ENSG00000067048.17,0,0,0
ENSG00000067057.18,2052,1148,5531
ENSG00000067064.11,10828,2638,2558
ENSG00000067066.17,2488,3142,8792
ENSG00000067082.15,9047,6320,5802
ENSG00000067113.17,1277,1686,1729
ENSG00000067141.17,3394,1953,6675
ENSG00000067167.8,7587,17936,14040
ENSG00000067177.15,1447,816,1102
ENSG00000067182.8,6468,8319,13388
ENSG00000067191.16,108,352,1024
ENSG00000067208.14,750,703,601
ENSG00000067221.14,1082,535,1141
ENSG00000067225.18,41066,39514,137472
ENSG00000067248.10,2067,1234,3964
ENSG00000067334.14,2741,3039,5834
ENSG00000067365.15,441,523,558
ENSG00000067369.14,1609,933,1770
ENSG00000067445.21,1055,353,329
ENSG00000067533.6,695,1579,2809
ENSG00000067560.13,31305,29274,32062
ENSG00000067596.12,1744,3465,2106
ENSG00000067601.8,84,46,130
ENSG00000067606.17,699,525,884
ENSG00000067646.12,0,0,0
ENSG00000067704.10,4921,7276,12331
ENSG00000067715.14,24,15,74
ENSG00000067798.16,188,122,167
ENSG00000067829.19,3985,5208,4143
ENSG00000067836.13,401,1796,933
ENSG00000067840.12,142,36,100
ENSG00000067842.17,1,1,0
ENSG00000067900.8,1736,1761,1388
ENSG00000067955.15,1343,5310,2504
ENSG00000067992.16,840,2171,3463
ENSG00000068001.14,4159,7338,3647
ENSG00000068024.17,610,504,339
ENSG00000068028.17,2054,1438,1695
ENSG00000068078.20,122,1178,83
ENSG00000068079.8,879,2063,6751
ENSG00000068097.15,1003,1545,1841
ENSG00000068120.15,3512,11445,3004
ENSG00000068137.15,1550,3814,1393
ENSG00000068305.17,1422,1416,1964
ENSG00000068308.14,2898,3297,4301
ENSG00000068323.17,2830,1950,4802
ENSG00000068354.16,1034,471,911
ENSG00000068366.20,907,1138,2576
ENSG00000068383.19,1434,1062,1617
ENSG00000068394.11,1116,951,1674
ENSG00000068400.13,2030,3124,2545
ENSG00000068438.15,1979,1851,3007
ENSG00000068489.13,279,474,590
ENSG00000068615.19,696,560,1640
ENSG00000068650.18,1047,1432,1337
ENSG00000068654.16,3358,1798,3975
ENSG00000068697.7,20140,20708,41630
ENSG00000068724.17,1490,900,1313
ENSG00000068745.15,4544,5144,6876
ENSG00000068781.21,2,0,1
ENSG00000068784.13,805,1245,1362
ENSG00000068796.19,1226,655,1305
ENSG00000068831.19,300,126,158
ENSG00000068878.15,7572,3392,7577
ENSG00000068885.15,284,570,396
ENSG00000068903.20,3240,3036,3850
ENSG00000068912.14,4547,3806,4771
ENSG00000068971.14,846,933,1465
ENSG00000068976.14,44,71,65
ENSG00000068985.5,0,0,0
ENSG00000069011.16,645,2033,4022
ENSG00000069018.19,8,0,21
ENSG00000069020.18,1297,1108,2272
ENSG00000069122.19,2831,2449,2021
ENSG00000069188.17,213,7,142
ENSG00000069206.15,65,0,0
ENSG00000069248.12,1616,2518,4714
ENSG00000069275.13,9882,86382,41519
ENSG00000069329.18,8104,8142,6985
ENSG00000069345.12,3597,6274,4105
ENSG00000069399.15,3559,3883,8823
ENSG00000069424.15,846,895,729
ENSG00000069431.11,598,683,312
ENSG00000069482.7,28,72,90
ENSG00000069493.15,319,658,489
ENSG00000069509.6,787,1599,1951
ENSG00000069535.14,568,7611,16308
ENSG00000069667.16,836,394,551
ENSG00000069696.7,67,26,217
ENSG00000069702.11,598,759,8690
ENSG00000069764.10,2,338,8
ENSG00000069812.11,302,184,613
ENSG00000069849.11,5039,3363,7558
ENSG00000069869.16,2200,795,903
ENSG00000069943.10,430,276,460
ENSG00000069956.12,2034,1381,3209
ENSG00000069966.19,697,978,1064
ENSG00000069974.16,717,862,849
ENSG00000069998.12,2695,2193,3400
ENSG00000070010.19,1918,4404,4873
ENSG00000070018.9,928,1853,2534
ENSG00000070019.5,3,7,16
ENSG00000070031.4,49,59,170
ENSG00000070047.13,2606,1884,2851
ENSG00000070061.16,1493,1494,2329
ENSG00000070081.17,6962,7419,17051
ENSG00000070087.14,1466,909,11099
ENSG00000070159.14,2050,2302,2830
ENSG00000070182.21,93,70,53
ENSG00000070190.13,132,234,413
ENSG00000070193.5,134,162,185
ENSG00000070214.16,5784,7012,15453
ENSG00000070269.14,611,657,1041
ENSG00000070366.14,1478,321,512
ENSG00000070367.16,2161,2280,2682
ENSG00000070371.16,308,1941,149
ENSG00000070388.11,4,4,3
ENSG00000070404.10,2390,2129,2596
ENSG00000070413.20,8939,11895,10528
ENSG00000070423.18,2887,1343,2903
ENSG00000070444.15,955,1264,867
ENSG00000070476.15,936,693,1855
ENSG00000070495.15,1134,944,1441
ENSG00000070501.12,742,617,1200
ENSG00000070526.15,336,28,3
ENSG00000070540.13,896,882,1235
ENSG00000070601.10,130,1,46
ENSG00000070610.14,1529,1706,2066
ENSG00000070614.15,11562,4404,8785
ENSG00000070669.17,24,15,4
ENSG00000070718.12,753,390,1262
ENSG00000070729.14,3,0,2
ENSG00000070731.11,146,152,110
ENSG00000070748.19,0,0,0
ENSG00000070756.17,115193,57974,127168
ENSG00000070759.17,337,424,470
ENSG00000070761.8,625,1859,1465
ENSG00000070770.10,722,1390,1266
ENSG00000070778.13,856,493,435
ENSG00000070785.17,1274,1116,2892
ENSG00000070808.16,40,40,40
ENSG00000070814.22,2106,2369,3956
ENSG00000070831.17,11956,11231,21848
ENSG00000070882.13,683,597,638
ENSG00000070886.12,0,1,196
ENSG00000070915.10,292,8,2
ENSG00000070950.10,862,867,918
ENSG00000070961.16,3016,2657,2793
ENSG00000070985.13,1,108,9
ENSG00000071051.14,2771,2929,3539
ENSG00000071054.16,5273,3190,6325
ENSG00000071073.13,1993,11224,4791
ENSG00000071082.11,23065,53728,53730
ENSG00000071127.17,21390,12898,13339
ENSG00000071189.21,1490,2438,1852
ENSG00000071203.9,0,0,0
ENSG00000071205.12,2478,397,268
ENSG00000071242.12,2937,1330,2265
ENSG00000071243.16,278,256,361
ENSG00000071246.11,1102,646,230
ENSG00000071282.12,3372,2819,5695
ENSG00000071462.12,5724,5818,6818
ENSG00000071537.14,4772,4418,7404
ENSG00000071539.14,367,519,1053
ENSG00000071553.18,13160,46037,18561
ENSG00000071564.17,5010,6740,7935
ENSG00000071575.11,2694,3394,5758
ENSG00000071626.17,4922,5502,5827
ENSG00000071655.18,2982,2307,1960
ENSG00000071677.1,3,5,9
ENSG00000071794.16,466,193,569
ENSG00000071859.15,3063,7987,5005
ENSG00000071889.17,3410,3051,2441
ENSG00000071894.17,4409,6763,5473
ENSG00000071909.19,2,2,133
ENSG00000071967.12,7763,3930,18706
ENSG00000071991.9,0,0,0
ENSG00000071994.11,1647,3639,5121
ENSG00000072041.17,3,1,1
ENSG00000072042.13,3890,5857,6592
ENSG00000072062.15,6159,17581,11464
ENSG00000072071.16,1656,9339,5985
ENSG00000072080.11,0,1,2
ENSG00000072110.15,23329,8929,26873
ENSG00000072121.17,1399,1369,2657
ENSG00000072133.11,77,218,380
ENSG00000072134.15,709,685,428
ENSG00000072135.13,1705,5747,7192
ENSG00000072163.20,1682,1289,1214
ENSG00000072182.13,7,63,14
ENSG00000072195.15,243,1508,828
ENSG00000072201.14,749,578,602
ENSG00000072210.19,1120,8069,4611
ENSG00000072274.13,5657,2467,29196
ENSG00000072310.17,27956,18361,16963
ENSG00000072315.3,0,0,0
ENSG00000072364.13,5469,3291,5987
ENSG00000072401.15,932,1218,1133
ENSG00000072415.10,1598,941,1594
ENSG00000072422.17,622,1378,3121
ENSG00000072501.19,4231,4887,5633
ENSG00000072506.13,4329,6408,7629
ENSG00000072518.21,4509,4338,4907
ENSG00000072571.20,352,223,1177
ENSG00000072609.18,2123,1443,1152
ENSG00000072657.9,8,8,0
ENSG00000072682.19,1980,2543,5061
ENSG00000072694.21,201,376,107
ENSG00000072736.19,416,557,655
ENSG00000072756.17,524,1318,948
ENSG00000072778.20,5915,20009,8521
ENSG00000072786.13,2487,1260,1348
ENSG00000072803.17,2105,1632,2167
ENSG00000072818.12,290,266,238
ENSG00000072832.15,699,587,1161
ENSG00000072840.13,1187,305,1244
ENSG00000072849.11,2140,2020,2987
ENSG00000072858.11,3800,1846,2000
ENSG00000072864.16,858,800,1174
ENSG00000072952.19,1269,494,2644
ENSG00000072954.7,1079,231,410
ENSG00000072958.9,2846,2449,4619
ENSG00000073008.15,776,670,1366
ENSG00000073050.12,1439,2125,2560
ENSG00000073060.16,1020,7432,3509
ENSG00000073067.14,3,5,1
ENSG00000073111.14,590,190,999
ENSG00000073146.16,25,14,22
ENSG00000073150.14,101,8,933
ENSG00000073169.14,1617,715,1266
ENSG00000073282.14,299,15,780
ENSG00000073331.18,859,1348,571
ENSG00000073350.14,8576,4301,1946
ENSG00000073417.15,1090,746,1034
ENSG00000073464.13,295,120,268
ENSG00000073536.18,540,579,473
ENSG00000073578.17,228,743,422
ENSG00000073584.20,338,1760,3623
ENSG00000073598.6,2,1,3
ENSG00000073605.18,146,2490,735
ENSG00000073614.13,1908,2560,1926
ENSG00000073670.14,17,47,32
ENSG00000073711.11,1890,217,1319
ENSG00000073712.15,2348,1970,3038
ENSG00000073734.10,3,15,9
ENSG00000073737.17,23,67,35
ENSG00000073754.6,1,0,0
ENSG00000073756.12,29,179,43
ENSG00000073792.16,44,60,68
ENSG00000073803.14,1127,1643,5021
ENSG00000073849.16,11180,683,38617
ENSG00000073861.3,28,27,31
ENSG00000073905.8,21,2,5
ENSG00000073910.22,846,1177,1786
ENSG00000073921.18,7089,6982,10098
ENSG00000073969.18,1494,1399,2622
ENSG00000074047.22,339,161,245
ENSG00000074054.20,1829,2827,3660
ENSG00000074071.15,3226,4517,5413
ENSG00000074181.9,18197,13327,18149
ENSG00000074201.9,2283,2518,8239
ENSG00000074211.14,147,1674,1925
ENSG00000074219.14,2253,773,3359
ENSG00000074266.22,706,742,1664
ENSG00000074276.10,22,10,44
ENSG00000074317.11,2,4,4
ENSG00000074319.13,1864,4344,4783
ENSG00000074356.17,1555,2076,1524
ENSG00000074370.18,1564,26983,2334
ENSG00000074410.14,1481,11775,29766
ENSG00000074416.14,6428,3478,1280
ENSG00000074527.13,2399,1404,9188
ENSG00000074582.15,955,1366,881
ENSG00000074590.13,1640,1053,919
ENSG00000074603.19,1535,1744,2130
ENSG00000074621.14,586,176,553
ENSG00000074657.14,2395,1669,2708
ENSG00000074660.16,695,623,437
ENSG00000074695.6,4899,14863,6260
ENSG00000074696.13,12363,7036,10048
ENSG00000074706.13,82,43,54
ENSG00000074755.15,2724,2177,1693
ENSG00000074771.4,0,0,0
ENSG00000074800.16,47809,24931,132312
ENSG00000074803.20,617,3,117
ENSG00000074842.8,6400,3482,6600
ENSG00000074855.11,881,552,1326
ENSG00000074935.14,362,473,430
ENSG00000074964.17,1209,1709,1979
ENSG00000074966.11,48,5,8
ENSG00000075035.10,48,16,362
ENSG00000075043.19,9,3,28
ENSG00000075073.15,125,24,33
ENSG00000075089.9,1693,1510,778
ENSG00000075131.10,183,231,573
ENSG00000075142.14,1993,2374,3726
ENSG00000075151.21,2361,3990,6510
ENSG00000075188.9,393,741,676
ENSG00000075213.11,47,56,76
ENSG00000075218.19,272,269,842
ENSG00000075223.14,3117,7344,5591
ENSG00000075234.17,734,917,3253
ENSG00000075239.14,2766,771,2824
ENSG00000075240.17,3155,2949,3274
ENSG00000075275.18,1275,12240,19542
ENSG00000075290.8,9,3,5
ENSG00000075292.19,3859,5171,8528
ENSG00000075303.13,542,598,649
ENSG00000075336.12,513,1066,1153
ENSG00000075340.23,70,64,26
ENSG00000075388.4,0,0,0
ENSG00000075391.17,1644,1393,1865
ENSG00000075399.14,554,1203,468
ENSG00000075407.18,669,852,2554
ENSG00000075413.19,2596,5502,4490
ENSG00000075415.13,18858,19089,12720
ENSG00000075420.13,4506,3586,8789
ENSG00000075426.12,5682,5851,13249
ENSG00000075429.9,6,1,5
ENSG00000075461.6,5605,7511,5205
ENSG00000075539.15,1576,2249,1506
ENSG00000075568.17,3687,2956,4846
ENSG00000075618.18,4220,3485,4981
ENSG00000075624.17,325322,519853,619725
ENSG00000075643.6,311,706,743
ENSG00000075651.16,666,254,975
ENSG00000075673.12,8,0,3
ENSG00000075702.18,549,218,410
ENSG00000075711.21,2569,3877,4401
ENSG00000075785.14,12186,17680,20554
ENSG00000075790.12,69,59,57
ENSG00000075826.17,210,313,112
ENSG00000075856.12,1698,2513,3261
ENSG00000075884.14,304,348,291
ENSG00000075886.11,277,15,1047
ENSG00000075891.22,162,97,36
ENSG00000075914.13,907,2434,1350
ENSG00000075945.13,1354,2167,4729
ENSG00000075975.17,1633,1458,2187
ENSG00000076003.5,995,2418,4150
ENSG00000076043.11,1989,728,2403
ENSG00000076053.12,767,396,739
ENSG00000076067.13,1737,2545,2606
ENSG00000076108.12,5702,4516,4909
ENSG00000076201.15,5000,3780,5761
ENSG00000076242.16,2116,1611,2389
ENSG00000076248.11,1592,4414,3681
ENSG00000076258.10,680,367,1088
ENSG00000076321.11,619,663,890
ENSG00000076344.16,57,539,444
ENSG00000076351.13,187,3148,800
ENSG00000076356.7,1072,1570,1134
ENSG00000076382.17,317,4497,1614
ENSG00000076513.17,2193,1744,2037
ENSG00000076554.15,9621,9434,18374
ENSG00000076555.15,525,2617,744
ENSG00000076604.15,2267,16097,3190
ENSG00000076641.4,483,289,941
ENSG00000076650.7,489,729,1133
ENSG00000076662.10,36,18,13
ENSG00000076685.19,727,341,812
ENSG00000076706.17,8236,10204,9243
ENSG00000076716.9,964,6767,7225
ENSG00000076770.14,563,906,265
ENSG00000076826.10,3024,2427,1995
ENSG00000076864.19,665,2261,1535
ENSG00000076924.12,3484,5871,3923
ENSG00000076928.18,4756,4410,3610
ENSG00000076944.16,2240,5603,2170
ENSG00000076984.18,1780,1066,1765
ENSG00000077009.13,0,0,1
ENSG00000077044.11,5315,3319,1418
ENSG00000077063.11,54,29,38
ENSG00000077080.10,0,2,0
ENSG00000077092.19,347,80,518
ENSG00000077097.15,7674,6222,10565
ENSG00000077147.16,16386,19096,14065
ENSG00000077150.20,2092,2629,4747
ENSG00000077152.11,406,2299,2769
ENSG00000077157.22,1863,1313,1934
ENSG00000077232.18,4934,18044,9464
ENSG00000077235.18,6907,7201,7457
ENSG00000077238.14,3060,2730,1887
ENSG00000077254.14,2246,2508,4220
ENSG00000077264.15,74,14,109
ENSG00000077274.9,102,265,49
ENSG00000077279.19,2,94,2
ENSG00000077312.9,2183,4666,5327
ENSG00000077327.16,4,12028,19
ENSG00000077348.9,1021,1747,2278
ENSG00000077380.16,3870,3306,11053
ENSG00000077420.16,1332,934,504
ENSG00000077454.16,591,333,379
ENSG00000077458.13,374,608,574
ENSG00000077463.15,1091,1222,1425
ENSG00000077498.9,1,0,0
ENSG00000077514.9,1109,566,1744
ENSG00000077522.14,7,2,687
ENSG00000077549.19,23425,18889,25302
ENSG00000077585.14,3663,2390,4443
ENSG00000077616.11,35,88,99
ENSG00000077684.16,1123,1223,814
ENSG00000077713.19,933,2488,1403
ENSG00000077721.16,3504,4180,5121
ENSG00000077782.21,2667,4083,2905
ENSG00000077800.13,2,0,1
ENSG00000077935.17,39,3,18
ENSG00000077942.19,14273,16441,15859
ENSG00000077943.8,500,116,297
ENSG00000077984.6,106,224,226
ENSG00000078018.20,297,181,541
ENSG00000078043.16,516,583,872
ENSG00000078053.17,173,65,325
